"32"	"VIP (Min of P7000)"	"VIP30OFF"	"1"	"30"	"SALES, DISCOUNT"	""	""	"2016-10-6 00:00:00"	"2016-11-16 23:59:59"	"2"	"1"	"2016-10-6 18:49:23"	"2016-11-17 12:42:08"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"33"	"VIP 7k and above (Internal CS use only)"	"VIP7K"	"1"	"20"	"Discount"	""	""	"2016-10-11 00:00:00"	"2016-11-17 23:59:59"	"2"	"1"	"2016-10-11 12:42:24"	"2016-11-17 14:52:33"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"34"	"VIP 4k and above (Internal CS use only)"	"VIP4K"	"1"	"20"	"Sales, Discount"	""	""	"2016-10-14 00:00:00"	"2016-10-15 23:59:59"	"2"	"1"	"2016-10-14 14:19:16"	"2016-10-14 14:19:16"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"35"	"SHOPBACK 11 /11 "	"SHOPBACK11"	"1"	"11"	"Discount"	""	""	"2016-11-3 00:00:00"	"2016-11-14 23:59:59"	"2"	"1"	"2016-11-3 07:54:57"	"2016-11-3 07:54:57"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"36"	"Special Code 15k"	"SPECIALCODE"	"1"	"30"	"dISCOUNT"	""	""	"2016-11-3 00:00:00"	"2016-11-4 23:59:59"	"2"	"1"	"2016-11-3 14:01:35"	"2016-11-3 14:01:35"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"37"	"IVOUCHERCODE"	"GPH10OFF"	"1"	"10"	"Discount, Sale"	""	""	"2016-11-21 00:00:00"	"2016-11-30 23:59:59"	"2"	"1"	"2016-11-21 14:53:21"	"2016-12-2 18:04:53"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"38"	"Shopback Black Friday"	"SB15"	"1"	"15"	"Sale, Discount"	""	""	"2016-11-25 00:00:00"	"2016-11-30 23:59:59"	"2"	"1"	"2016-11-23 17:46:27"	"2016-11-23 17:51:37"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"39"	"Christmas VIP Code"	"XMASVIP"	"1"	"5"	"Investor vip order"	""	""	"2016-12-2 00:00:00"	"2016-12-2 23:59:59"	"2"	"1"	"2016-12-2 15:06:23"	"2016-12-2 15:07:42"	"34862"	"34862"	"34862"	""	""	""	""	""	""	"0"
"40"	"SHOPBACKCNY"	"SHOPBACKCNY"	"1"	"10"	"Discount, Promotions"	""	""	"2017-1-9 00:00:00"	"2017-1-31 23:59:59"	"2"	"1"	"2017-1-9 09:29:40"	"2017-1-9 09:29:40"	"17885"	"17885"	"17885"	""	""	""	""	""	""	""
"41"	"FreeGC200"	"FREEGC200"	"0"	"200"	"FreeGC200"	"<p style=""box-sizing:border-box;margin-top:0px;margin-bottom:20px;font-family:&quot;Open Sans&quot;, sans-serif;font-size:13px;border-radius:0px !important;"">out-of-stock compensation&nbsp;</p>
<p class=""MsoNormal"" style=""box-sizing:border-box;margin-top:0px;margin-bottom:20px;font-family:&quot;Open Sans&quot;, sans-serif;font-size:13px;border-radius:0px !important;""><i style=""box-sizing:border-box;""><span style=""box-sizing:border-box;border-radius:0px !important;font-family:Calibri;font-size:10pt;"">order must NOT cost lower than the P200</span></i></p>"	"30"	"2017-3-2 00:00:00"	"2017-12-31 23:59:59"	"93"	"1"	"2017-3-2 14:20:43"	"2017-3-2 14:23:20"	"1"	"1"	"1"	""	""	""	""	""	""	""
